Time,Track ID,Type,x [m],y [m],Speed [km/h],Tan. Acc. [ms-2],Lat. Acc. [ms-2]
0.600601,34,3,746816.37,3150511.01,23.9882,-0.0327,1.2979
0.600601,10,1,746803.81,3150572.91,18.4833,-0.6971,0.356
0.600601,2,2,746813.15,3150577.88,20.0967,0.0035,0.4211
0.600601,40,3,746837.74,3150525.11,24.4351,-0.1782,0.9512
0.600601,43,1,746766.93,3150499.16,5.2487,0.6276,-0.08
0.600601,11,1,746750.15,3150576.41,38.6217,0.5568,-0.144
0.600601,20,8,746849.68,3150496.46,7.8444,0.2932,-0.0139
0.600601,14,1,746807.39,3150577.74,22.1792,-0.1928,0.2469
0.600601,12,1,746778.2,3150551.94,23.0031,0.1549,0.9079
0.600601,31,3,746859.03,3150517.88,30.2536,0.5727,-0.9025
0.600601,37,2,746845.57,3150541.06,25.8784,0.1129,0.2416
0.600601,35,1,746767.31,3150545.45,27.9727,0.3038,-0.8157
0.600601,1,1,746814.54,3150505.94,23.1775,0.3211,0.087
0.600601,42,3,746810.61,3150497.85,0.0118,0.0052,-0.0174
0.600601,17,1,746840.44,3150534.85,22.1427,0.3777,1.0214
0.600601,16,1,746766.7,3150532.32,0.1339,0.0102,0.0008
0.600601,26,4,746836.87,3150504.74,14.9067,0.0515,-0.2142
0.600601,6,1,746815.68,3150573.43,19.8484,0.0513,0.9571
0.600601,18,1,746774.43,3150585.65,15.7036,0.5961,-0.216
0.600601,24,3,746865.5,3150511.46,30.5458,0.0874,-0.4766
0.600601,13,1,746847.31,3150565.46,14.5882,0.0628,-0.2171
0.600601,41,3,746839.72,3150524.7,27.1161,0.1537,0.6871
0.600601,25,3,746862.63,3150512.21,34.9008,0.353,-0.7953
0.600601,36,4,746756.29,3150569.25,34.2872,0.4041,-0.8271
0.600601,44,1,746849.35,3150576.41,7.7549,0.4906,-0.4128
0.800801,9,1,746797.09,3150576.12,16.7323,0.3923,-0.0327
0.800801,6,1,746816.76,3150573.19,19.901,0.0736,1.1924
0.800801,43,1,746767.07,3150499.38,5.7623,0.8455,-0.1078
0.800801,12,1,746778.76,3150553.08,23.1425,0.2085,1.0776
0.800801,8,1,746767.7,3150590.06,11.3484,0.0556,-0.1468
0.800801,14,1,746808.59,3150577.45,22.0099,-0.2558,0.3276
0.800801,7,1,746769.76,3150526.88,17.7412,0.4074,0.0525
0.800801,33,1,746825.98,3150502.05,21.8676,0.6034,-0.5441
0.800801,36,4,746755.26,3150570.86,34.6419,0.5705,-1.0182
0.800801,11,1,746748.72,3150578.01,39.0951,0.7519,-0.2279
0.800801,5,1,746789.73,3150580.01,20.1335,-0.1895,-0.4402
0.800801,3,1,746856.32,3150489.42,10.5026,-1.3826,0.1493
0.800801,26,4,746836.06,3150504.9,14.9526,0.0386,-0.2284
0.800801,16,1,746766.7,3150532.32,0.1408,0.0161,0.012
0.800801,30,3,746774.58,3150547.42,18.7147,0.1552,0.1946
0.800801,22,1,746773.43,3150519.41,16.5442,-0.1687,-0.3117
0.800801,28,3,746841.56,3150496.69,20.6134,1.2614,-0.0412
0.800801,2,2,746814.24,3150577.65,20.1142,0.0486,0.5608
0.800801,18,1,746775.2,3150585.23,16.2114,0.834,-0.2505
0.800801,35,1,746766.8,3150546.92,28.2509,0.4523,-1.0139
0.800801,24,3,746866.72,3150510.27,30.6277,0.1218,-0.5543
0.800801,27,3,746798.9,3150580.53,23.8617,-0.1329,-0.1936
0.800801,20,8,746849.31,3150496.69,8.1003,0.4143,-0.017
0.800801,34,3,746815.07,3150510.73,23.9541,-0.0522,1.5636
0.800801,29,3,746797.04,3150507.56,20.7452,0.1187,0.6751
0.800801,32,2,746851.53,3150490.87,8.608,-1.0952,0.0854
0.800801,23,3,746765.3,3150538.98,0.0124,-0.0128,0.0009
0.800801,31,3,746860.08,3150516.57,30.744,0.7817,-1.0822
0.800801,40,3,746836.99,3150523.97,24.2783,-0.266,1.1681
0.800801,38,3,746856.4,3150520.03,25.1091,0.2833,-0.5634
0.800801,15,1,746826.78,3150569.67,24.6996,-0.5229,1.1467
0.800801,39,3,746771.13,3150543.97,31.0645,1.0777,-0.6209
0.800801,13,1,746847.22,3150564.65,14.6315,0.0778,-0.266
0.800801,1,1,746813.27,3150506.14,23.4382,0.424,0.1229
0.800801,21,3,746855.64,3150527.32,26.1688,0.4485,-1.1828
0.800801,45,3,746805.12,3150581.16,24.3309,-0.0955,0.0606
0.800801,44,1,746849.16,3150576.06,8.3821,1.1782,-0.461
0.800801,25,3,746863.99,3150510.83,35.212,0.4754,-0.9244
0.800801,42,3,746810.61,3150497.85,0.0127,-0.0138,0.0413
0.800801,4,4,746785.23,3150520.14,19.4949,0.0344,0.6312
0.800801,41,3,746838.84,3150523.48,27.2315,0.1516,0.8494
0.800801,17,1,746840.18,3150533.64,22.4626,0.5055,1.2583
0.800801,37,2,746845.27,3150539.65,25.9701,0.12,0.3519
0.800801,10,1,746804.82,3150573.11,17.8963,-0.9262,0.4543
0.800801,19,8,746778.8,3150528.97,19.4155,0.0541,0.7073
1.001002,15,1,746827.9,3150568.89,24.3102,-0.5449,1.3464
1.001002,41,3,746837.94,3150522.28,27.2817,-0.0396,0.9843
1.001002,31,3,746861.2,3150515.26,31.3144,0.7813,-1.1502
1.001002,14,1,746809.77,3150577.16,21.8131,-0.2732,0.3965
1.001002,33,1,746824.75,3150502.14,22.3471,0.7138,-0.6354
1.001002,17,1,746839.86,3150532.43,22.8335,0.524,1.4217
1.001002,21,3,746856.32,3150526.01,26.5232,0.5157,-1.3138
1.001002,45,3,746806.45,3150580.88,24.2022,-0.2491,0.0673
1.001002,7,1,746769.72,3150527.88,18.0646,0.4837,-0.0728
1.001002,11,1,746747.25,3150579.63,39.6959,0.8812,-0.4056
1.001002,5,1,746790.81,3150579.72,19.9727,-0.2346,-0.4669
1.001002,30,3,746774.87,3150548.43,18.8382,0.1864,0.2716
1.001002,26,4,746835.24,3150505.05,14.9835,0.0116,-0.2384
1.001002,16,1,746766.69,3150532.33,0.1452,-0.0011,-0.0153
1.001002,20,8,746848.92,3150496.94,8.4239,0.4805,-0.0107
1.001002,36,4,746754.18,3150572.46,35.0849,0.6434,-1.1149
1.001002,46,1,746842.29,3150541.91,16.451,0.0213,0.0735
1.001002,1,1,746811.97,3150506.36,23.7581,0.4685,0.2241
1.001002,38,3,746857.32,3150518.97,25.3436,0.3588,-0.6642
1.001002,28,3,746840.48,3150497.15,21.5859,1.4022,-0.1596
1.001002,39,3,746770.65,3150545.66,31.9242,1.284,-0.8255
1.001002,23,3,746765.3,3150538.98,0.0129,-0.0054,0.003
1.001002,12,1,746779.37,3150554.22,23.2993,0.1974,1.141
1.001002,9,1,746798.01,3150576.0,17.0098,0.3475,-0.0614
